movie_id,cast_id,cast_name,actor_gender,actor_id,cast_character
256040,0,Prabhas,2,0,"Shivudu / Baahubali"
329440,0,"Natalie Dormer",1,0,"Sara / Jess Price"
663,1,"Tobin Bell",2,1,Jigsaw/John
1642,1,"Sandra Bullock",1,1,"Angela Bennett/Ruth Marx"
1924,1,"Christopher Reeve",2,1,"Superman / Clark Kent"
3509,1,"Keanu Reeves",2,1,"Fred/Bob Arctor"
7220,1,"Thomas Jane",2,1,"Frank Castle / The Punisher"
7512,1,"Luke Wilson",2,1,"Cpl. \Average Joe\ Bauers/\Not Sure\"
8536,1,"Christopher Reeve",2,1,"Superman / Clark Kent"
8854,1,"Shaquille O'Neal",2,1,"John Henry Irons / Steel"
9021,1,"Tim Allen",2,1,"Scott Calvin / Santa Clause"
9075,1,"Carice van Houten",1,1,"Rachel Stein / Ellis de Vries"
9313,1,"Leonardo DiCaprio",2,1,"King Louis XIV / Philippe"
9473,1,"Trey Parker",2,1,"Eric Cartman / Stan Marsh"
9476,1,"Heath Ledger",2,1,"Sir William Thatcher / Sir Ulrich von Lichtenstein of Gelderland"
9490,1,"Dave Chappelle",2,1,"Thurgood Jenkins / Sir Smoke-a-Lot"
9531,1,"Christopher Reeve",2,1,"Superman / Clark Kent"
9576,1,"Dustin Hoffman",2,1,"Michael Dorsey / Dorothy Michaels"
9594,1,"Jean-Claude Van Damme",2,1,"Alex / Chad Wagner"
9806,1,"Craig T. Nelson",2,1,"Bob Parr / Mr. Incredible (voice)"
9826,1,"Billy Zane",2,1,"The Phantom / Kit Walker"
9837,1,"Val Kilmer",2,1,Moses/God
10017,1,"Charlie Sheen",2,1,"Jake Kesey / The Wraith"
10285,1,"Kane Hodder",2,1,"Jason Voorhees / Security Guard #2 / Freddy Krueger's arm"
10715,1,"Brendan Fraser",2,1,"DJ Drake / Tasmanian Devil (voice) / She-Devil (voice)"
11176,1,"Jim Henson",2,1,"Kermit the Frog / Rowlf / Dr. Teeth / Waldorf / Doc Hopper's Men / Link Hogthrob / Swedish Chef (voice)"
11469,1,"Martin Lawrence",2,1,"Jamal Walker / Skywalker"
11470,1,"Kane Hodder",2,1,"Jason Voorhees / Uber-Jason"
11596,1,"Heather Langenkamp",1,1,"Herself / Nancy Thompson"
11827,1,"Rodger Bumpass",2,1,"Hanover Fiste / Dr. Anrak (voice)"
13183,1,"Carla Gugino",1,1,"Sally Jupiter / Silk Spectre"
13501,1,"Pen\u00e9lope Cruz",1,1,Anna/Melodia
13682,1,"Jim Cummings",2,1,"Winnie the Pooh / Tigger (voice)"
15005,1,"Tiffany Dupont",1,1,"Hadassah / Esther"
15173,1,"Phil Vischer",2,1,"Archibald Asparagus / Jonah / Twippo / Bob the Tomato / Mr. Lunt / Pirate Lunt / Percy Pea / Phillipe Pea / Pa Grape / Pirate Pa / Nezzer / King Twistomer / Cockney Pea #2 (voice)"
15765,1,"Angela Bassett",1,1,"Anna Mae Bullock / Tina Turner"
16690,1,"Harriet Owen",1,1,"Jane / Young Wendy (Voice)"
16727,1,"Kal Penn",2,1,Gogol/Nikhil
16781,1,"Tyler Perry",2,1,"Madea / Brian / Joe"
17813,1,"Luke Wilson",2,1,"Alex Sheldon / Adam Shipley"
19084,1,"Cedric the Entertainer",2,1,"Nate Johnson / Uncle Earl"
19150,1,"Richard Dreyfuss",2,1,"Bobby Bartellemeo / Narrator"
21338,1,"Brian Bosworth",2,1,"Joe Huff / John Stone"
22314,1,"Omar Epps",2,1,"Jeff Cole / J. Reid"
24913,1,"Deborah Foreman",0,1,"Muffy / Buffy St. John"
29262,1,"Fernanda Montenegro",1,1,"Dona Maria/\u00c1urea/Maria"
32740,1,"Hrithik Roshan",2,1,"Krishna Mehra / Krrish / Rohit Mehra"
34769,1,"Woody Harrelson",2,1,"Arthur Poppington / Defendor"
35696,1,"Miguel A. N\u00fa\u00f1ez",2,1,"Jamal Jefferies / Juwanna Mann"
38985,1,"Roy Scheider",2,1,"Jackie Scanlon / \Juan Dominguez\"
40805,1,"Seth Rogen",2,1,"Britt Reid / Green Hornet"
76349,1,"Jackie Chan",2,1,"Huang Xing / Huang Keqiang"
83542,1,"Tom Hanks",2,1,"Dr. Henry Goose / Hotel Manager / Isaac Sachs / Dermot Hoggins / Cavendish Look-a-Like Actor / Zachry"
83770,1,"Sam Riley",2,1,"Sal Paradise / Jack Kerouac"
86304,1,"Jason Trost",0,1,"Charge / John"
100402,1,"Chris Evans",2,1,"Steve Rogers / Captain America"
118340,1,"Chris Pratt",2,1,"Peter Quill / Star-Lord"
258489,1,"Alexander Skarsg\u00e5rd",2,1,"John Clayton / Tarzan"
35,2,"Dan Castellaneta",2,2,"Homer / Itchy / Barney / Grampa / Stage Manager / Krusty the Clown / Mayor Quimby / Mayor's Aide / Multi-Eyed Squirrel / Panicky Man / Sideshow Mel / Mr. Teeny / EPA Official / Kissing Cop / Bear / Boy on Phone / NSA Worker / Officer / Santa's Little Helper / Squeaky-Voiced Teen (voice)"
314,2,"Halle Berry",1,2,"Patience Phillips / Catwoman"
332,2,"Matthew Broderick",2,2,"Inspector Gadget / Robo Gadget / John Brown"
433,2,"Dick Van Dyke",2,2,"Bert/Mr. Dawes"
1381,2,"Hugh Jackman",2,2,"Tom\u00e1s/Tom Creo/Tommy"
2453,2,"Don Johnson",0,2,"Robert Lee Anderson / The Marlboro Man"
4477,2,"Brad Pitt",2,2,"Rory Devaney / Francis Austin McGuire"
8435,2,"Steve Coogan",2,2,"Tristram Shandy / Walter Shandy / himself"
9095,2,"John Malkovich",2,2,"Dr. Henry Jekyll / Edward Hyde"
9342,2,"Catherine Zeta-Jones",1,2,"Elena Montero / Elena Murrieta"
9366,2,"Johnny Depp",2,2,"Donnie Brasco / Joseph D. 'Joe' Pistone"
9383,2,"Kevin Bacon",2,2,"Sebastian Caine / Hollow Man"
9408,2,"Jeff Bridges",2,2,"Big Z / Geek"
9473,2,"Matt Stone",2,2,"Kyle Broflovski / Kenny McCormick"
9613,2,"Miranda Richardson",1,2,"Yvonne / Mrs. Cleg"
9806,2,"Holly Hunter",1,2,"Helen Parr / Elastigirl (voice)"
10212,2,"Robert Carlyle",2,2,"Colonel Ives / F.W. Colqhoun"
11066,2,"Robin Givens",1,2,"Jacqueline 'Jackie / Jack' Broyer"
11176,2,"Frank Oz",2,2,"Miss Piggy / Fozzie Bear / Animal / Sam the Eagle / Doc Hopper's Men / Marvin Suggs (uncredited) / Swedish Chef (hands) (uncredited) / Motorcycle Guy (uncredited) (voice)"
11459,2,"Kurt Russell",2,2,"Steve Stronghold / The Commander"
11596,2,"Robert Englund",2,2,"Freddy Krueger / Himself"
12589,2,"Megan Cavanagh",1,2,"Judy Neutron (voice) / VOX (voice)"
13056,2,"Ray Stevenson",2,2,"Frank Castle / The Punisher"
13183,2,"Malin \u00c5kerman",1,2,"Laurie Jupiter / Silk Spectre II"
