19995,289,Ingenious Film Partners
19995,306,Twentieth Century Fox Film Corporation
19995,444,Dune Entertainment
19995,574,Lightstorm Entertainment
285,2,Walt Disney Pictures
285,130,Jerry Bruckheimer Films
285,19936,Second Mate Productions
206647,5,Columbia Pictures
206647,10761,Danjaq
206647,69434,B24
49026,923,Legendary Pictures
49026,6194,Warner Bros.
49026,9993,DC Entertainment
49026,9996,Syncopy
49529,2,Walt Disney Pictures
559,5,Columbia Pictures
559,326,Laura Ziskin Productions
559,19551,Marvel Enterprises
38757,2,Walt Disney Pictures
38757,6125,Walt Disney Animation Studios
99861,420,Marvel Studios
99861,15357,Prime Focus
99861,76043,Revolution Sun Studios
767,6194,Warner Bros.
767,7364,Heyday Films
209112,429,DC Comics
209112,507,Atlas Entertainment
209112,6194,Warner Bros.
209112,9993,DC Entertainment
209112,9995,Cruel & Unusual Films
209112,41624,RatPac-Dune Entertainment
1452,429,DC Comics
1452,923,Legendary Pictures
1452,6194,Warner Bros.
1452,9168,Bad Hat Harry Productions
10764,7576,Eon Productions
58,2,Walt Disney Pictures
58,130,Jerry Bruckheimer Films
58,19936,Second Mate Productions
57201,2,Walt Disney Pictures
57201,130,Jerry Bruckheimer Films
57201,2691,Infinitum Nihil
57201,37380,Silver Bullet Productions (II)
57201,37381,Blind Wink Productions
57201,37382,Classic Media
49521,923,Legendary Pictures
49521,6194,Warner Bros.
49521,9993,DC Entertainment
49521,9996,Syncopy
49521,78685,Cruel and Unusual Films
2454,5888,Walt Disney
2454,10221,Walden Media
2454,11345,Stillking Films
2454,11440,Ozumi Films
2454,11441,Propeler
2454,11442,Silverbell Films
2454,76043,Revolution Sun Studios
24428,4,Paramount Pictures
24428,420,Marvel Studios
1865,2,Walt Disney Pictures
1865,130,Jerry Bruckheimer Films
1865,20478,Moving Picture Company (MPC)
41154,56,Amblin Entertainment
41154,5627,Media Magik Entertainment
41154,6736,Imagenation Abu Dhabi FZ
41154,9169,Hemisphere Media Capital
41154,11084,Parkes/MacDonald Productions
122917,11,WingNut Films
122917,12,New Line Cinema
122917,174,Warner Bros. Pictures
122917,7413,3Foot7
122917,8411,Metro-Goldwyn-Mayer (MGM)
1930,5,Columbia Pictures
1930,326,Laura Ziskin Productions
1930,7505,Marvel Entertainment
20662,23,Imagine Entertainment
20662,33,Universal Pictures
20662,1645,Scott Free Productions
20662,7295,Relativity Media
57158,11,WingNut Films
57158,12,New Line Cinema
57158,174,Warner Bros. Pictures
57158,8411,Metro-Goldwyn-Mayer (MGM)
2268,12,New Line Cinema
2268,289,Ingenious Film Partners
2268,1473,Depth of Field
2268,1938,Scholastic Productions
254,11,WingNut Films
254,33,Universal Pictures
254,68,Big Primate Pictures
254,69,MFPV Film
597,4,Paramount Pictures
597,306,Twentieth Century Fox Film Corporation
597,574,Lightstorm Entertainment
271110,264,Studio Babelsberg
271110,420,Marvel Studios
271110,3036,Walt Disney Studios Motion Pictures
271110,84424,Vita-Ray Dutch Productions (III)
271110,84425,Deluxe Digital Studios
44833,33,Universal Pictures
44833,2598,Hasbro
44833,13778,Bluegrass Films
44833,20153,Film 44
135397,13,Universal Studios
135397,56,Amblin Entertainment
135397,923,Legendary Pictures
135397,3341,Fuji Television Network
135397,6452,Dentsu
37724,5,Columbia Pictures
558,5,Columbia Pictures
558,326,Laura Ziskin Productions
558,19551,Marvel Enterprises
68721,420,Marvel Studios
12155,2,Walt Disney Pictures
12155,598,Team Todd
12155,8601,Tim Burton Productions
12155,16314,Roth Films
12155,20004,Zanuck Company
36668,289,Ingenious Film Partners
36668,306,Twentieth Century Fox Film Corporation
36668,431,Donners' Company
36668,444,Dune Entertainment
36668,445,Major Studio Partners
